age;job;marital;education;default;housing;loan;contact;month;day_of_week;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed
32;entrepreneur;married;high.school;no;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
38;admin.;single;professional.course;no;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
57;admin.;married;university.degree;no;no;yes;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
44;admin.;married;university.degree;unknown;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
42;technician;single;professional.course;unknown;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
57;admin.;married;university.degree;no;yes;yes;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
40;blue-collar;married;basic.9y;no;no;yes;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
35;admin.;married;university.degree;no;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
45;blue-collar;married;basic.9y;no;yes;no;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
54;admin.;married;high.school;no;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
39;housemaid;married;basic.4y;no;no;yes;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
60;admin.;married;high.school;no;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
53;admin.;single;professional.course;no;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
55;blue-collar;married;basic.4y;unknown;no;no;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
55;technician;married;professional.course;unknown;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
50;management;married;university.degree;unknown;no;yes;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
45;services;married;high.school;unknown;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
55;unemployed;married;professional.course;unknown;yes;yes;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
25;technician;single;university.degree;no;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
47;entrepreneur;married;university.degree;unknown;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
51;blue-collar;married;basic.9y;no;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
42;blue-collar;married;basic.6y;unknown;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
42;blue-collar;married;basic.6y;unknown;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
48;admin.;married;high.school;no;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
37;admin.;married;university.degree;no;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
44;blue-collar;single;basic.9y;no;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
33;admin.;married;unknown;no;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
56;admin.;married;basic.9y;no;yes;no;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
44;blue-collar;single;basic.4y;unknown;yes;yes;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
41;management;married;basic.6y;no;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
44;management;divorced;university.degree;no;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
47;admin.;married;university.degree;unknown;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
57;unknown;married;unknown;unknown;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
37;admin.;married;university.degree;unknown;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
41;blue-collar;divorced;basic.4y;unknown;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
55;technician;married;university.degree;no;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
33;services;married;high.school;unknown;yes;no;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
55;management;married;unknown;unknown;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
42;blue-collar;married;basic.9y;unknown;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
50;blue-collar;married;basic.4y;unknown;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
51;blue-collar;married;basic.4y;unknown;unknown;unknown;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
38;admin.;married;high.school;unknown;no;no;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
49;entrepreneur;married;university.degree;unknown;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
38;technician;single;university.degree;no;no;yes;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
31;admin.;divorced;high.school;no;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
41;management;married;basic.6y;no;no;no;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
39;admin.;married;university.degree;no;yes;yes;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
49;technician;married;basic.9y;no;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
34;admin.;married;high.school;no;yes;no;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
35;admin.;married;university.degree;no;yes;no;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
57;unknown;married;unknown;unknown;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
60;admin.;married;unknown;unknown;no;yes;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
33;unemployed;married;basic.9y;no;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
42;blue-collar;married;basic.6y;no;no;yes;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
45;services;married;professional.course;no;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
42;management;married;university.degree;no;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
53;admin.;divorced;university.degree;unknown;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
37;technician;single;professional.course;no;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
44;blue-collar;married;basic.6y;no;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
54;services;married;unknown;no;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
49;blue-collar;married;basic.4y;no;no;no;telephone;may;mon;3;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
54;services;married;unknown;no;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
52;admin.;divorced;university.degree;no;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
52;admin.;divorced;university.degree;no;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
43;services;single;high.school;unknown;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
34;housemaid;married;basic.6y;no;yes;no;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
35;admin.;married;high.school;no;yes;no;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
42;entrepreneur;married;unknown;unknown;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
43;technician;married;unknown;unknown;yes;yes;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
60;retired;divorced;university.degree;unknown;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
58;unemployed;married;basic.4y;unknown;no;no;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
35;services;divorced;high.school;no;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
55;blue-collar;married;basic.9y;unknown;yes;no;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
37;management;married;university.degree;no;no;no;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
36;blue-collar;married;high.school;no;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
52;admin.;divorced;university.degree;no;no;no;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
57;blue-collar;divorced;unknown;unknown;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
56;admin.;married;unknown;no;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
48;blue-collar;divorced;basic.4y;unknown;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
40;blue-collar;married;high.school;unknown;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
49;blue-collar;divorced;high.school;no;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
41;services;married;high.school;no;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
45;technician;married;high.school;no;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
32;admin.;married;university.degree;no;yes;yes;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
42;admin.;married;university.degree;no;no;yes;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
50;admin.;married;basic.6y;no;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
31;technician;divorced;professional.course;no;yes;yes;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
56;retired;married;basic.4y;no;yes;no;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
41;technician;married;professional.course;unknown;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
37;blue-collar;married;basic.6y;no;yes;yes;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
41;technician;married;professional.course;unknown;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
35;blue-collar;married;unknown;no;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
37;blue-collar;married;basic.6y;no;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
52;management;married;university.degree;no;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
39;management;divorced;university.degree;no;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
39;housemaid;married;basic.4y;unknown;no;no;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
56;blue-collar;married;basic.4y;unknown;no;no;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
34;services;married;high.school;no;yes;no;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
45;blue-collar;married;basic.9y;unknown;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
43;unemployed;single;university.degree;no;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
56;management;married;unknown;no;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
39;management;married;university.degree;no;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
53;blue-collar;married;basic.4y;no;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
38;unknown;divorced;high.school;unknown;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
42;blue-collar;married;basic.4y;unknown;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
42;blue-collar;married;basic.4y;unknown;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
35;admin.;single;high.school;no;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
40;admin.;married;university.degree;unknown;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
51;blue-collar;married;basic.4y;no;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
60;blue-collar;married;basic.9y;unknown;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
56;entrepreneur;married;unknown;unknown;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
39;services;divorced;high.school;unknown;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
56;entrepreneur;married;unknown;unknown;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
40;blue-collar;married;unknown;no;yes;yes;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
36;blue-collar;married;basic.9y;no;yes;yes;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
51;blue-collar;married;unknown;unknown;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
51;blue-collar;married;unknown;unknown;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
43;technician;single;professional.course;no;yes;no;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
59;services;married;high.school;no;no;no;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
24;management;single;university.degree;no;yes;no;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
37;blue-collar;single;basic.9y;unknown;yes;yes;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
40;blue-collar;married;basic.9y;unknown;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
42;blue-collar;married;basic.9y;unknown;no;no;telephone;may;mon;3;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
39;services;divorced;high.school;unknown;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
37;entrepreneur;married;basic.6y;no;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
38;services;married;high.school;no;yes;yes;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
56;admin.;divorced;unknown;unknown;no;no;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
40;blue-collar;married;unknown;no;no;no;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
54;management;divorced;university.degree;no;yes;no;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
43;blue-collar;married;high.school;unknown;no;yes;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
36;services;married;high.school;unknown;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
45;technician;married;university.degree;no;yes;yes;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
42;admin.;single;university.degree;unknown;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
43;services;married;high.school;no;no;no;telephone;may;mon;3;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
46;management;married;basic.9y;no;no;no;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
44;services;married;high.school;no;yes;yes;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
51;admin.;single;basic.6y;no;no;no;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
28;services;married;high.school;no;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
37;blue-collar;married;basic.9y;no;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
34;technician;married;high.school;no;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
46;blue-collar;married;basic.6y;unknown;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
42;blue-collar;married;basic.9y;no;yes;yes;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
36;admin.;married;university.degree;no;yes;no;telephone;may;mon;3;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
54;blue-collar;married;basic.4y;unknown;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
57;management;married;university.degree;no;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
51;technician;married;basic.6y;unknown;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
54;retired;married;high.school;unknown;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
49;blue-collar;married;basic.4y;unknown;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
34;admin.;married;university.degree;no;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
41;technician;married;professional.course;no;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
38;blue-collar;single;basic.9y;no;yes;no;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
45;management;divorced;university.degree;no;no;no;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
42;technician;married;university.degree;no;no;no;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
34;blue-collar;single;basic.9y;unknown;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
48;blue-collar;married;basic.4y;no;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
37;admin.;married;high.school;unknown;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
34;blue-collar;single;basic.9y;unknown;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
40;admin.;married;basic.9y;unknown;yes;no;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
43;blue-collar;married;basic.6y;no;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
33;services;married;high.school;no;no;no;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
32;services;single;basic.6y;no;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
39;blue-collar;married;high.school;no;yes;no;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
43;admin.;married;unknown;no;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
44;blue-collar;married;basic.9y;no;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
35;student;single;university.degree;unknown;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
35;student;single;university.degree;unknown;yes;yes;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
35;unemployed;married;professional.course;no;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
36;services;single;basic.4y;no;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
35;student;single;university.degree;unknown;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
36;student;single;basic.9y;no;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
55;housemaid;divorced;university.degree;no;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
59;admin.;married;university.degree;no;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
57;retired;married;unknown;unknown;no;no;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
39;blue-collar;married;professional.course;unknown;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
39;housemaid;married;basic.4y;unknown;yes;no;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
30;blue-collar;single;unknown;no;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
30;blue-collar;single;unknown;no;yes;yes;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
50;housemaid;married;basic.4y;unknown;no;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
40;services;married;high.school;no;no;no;telephone;may;mon;3;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
35;admin.;married;high.school;no;yes;no;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
43;technician;married;unknown;unknown;no;no;telephone;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
36;services;single;basic.6y;unknown;yes;no;telephone;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191
